Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",44.107000,16.193100,90.000000,top
"C2","100nF","C_0603_1608Metric",50.875050,21.700000,180.000000,top
"C3","100nF","C_0603_1608Metric",35.065000,26.985000,0.000000,top
"C4","100nF","C_0603_1608Metric",50.784800,26.305400,180.000000,top
"C5","100nF","C_0603_1608Metric",43.954600,32.067000,-90.000000,top
"C6","100nF","C_0603_1608Metric",36.240000,20.900000,0.000000,top
"C7","100nF","C_0603_1608Metric",36.240000,22.450000,0.000000,top
"C8","100nF","C_0603_1608Metric",45.631000,16.193100,-90.000000,top
"C9","100nF","C_0603_1608Metric",42.405200,32.067000,90.000000,top
"C10","1uF","C_0603_1608Metric",37.884000,16.293600,90.000000,top
"C11","1uF","C_0603_1608Metric",39.408000,16.267100,-90.000000,top
"C12","100nF","C_0603_1608Metric",46.352000,12.270000,180.000000,top
"C13","100uF","CP_EIA-3528-15_AVX-H",73.910000,47.422500,90.000000,top
"C14","10uF","C_0603_1608Metric",76.432800,46.628400,90.000000,top
"C15","33pF","C_0603_1608Metric",77.956800,46.628400,90.000000,top
"C16","10pF","C_0603_1608Metric",79.560000,46.628400,90.000000,top
"C17","10uF","C_0603_1608Metric",84.620000,41.240000,0.000000,top
"C18","100nF","C_0603_1608Metric",84.620000,42.790000,180.000000,top
"C19","27p","C_0603_1608Metric",55.125000,33.385000,180.000000,top
"C20","27p","C_0603_1608Metric",51.925000,33.385000,0.000000,top
"C21","DNF","C_0603_1608Metric",92.520000,31.632500,90.000000,top
"C22","DNF","C_0603_1608Metric",90.860000,21.250000,-90.000000,top
"C23","DNF","C_0603_1608Metric",89.460000,31.632500,-90.000000,top
"C24","DNF","C_0603_1608Metric",92.440000,24.630000,-90.000000,top
"C26","10uF","C_0603_1608Metric",28.340000,36.100000,0.000000,top
"C27","100nF","C_0603_1608Metric",88.660000,11.350000,90.000000,top
"C28","22pF","C_0603_1608Metric",68.180000,7.620000,90.000000,top
"C29","22pF","C_0603_1608Metric",65.140000,7.597500,90.000000,top
"C30","22pF","C_0603_1608Metric",62.350000,7.640000,90.000000,top
"C31","4.7uF","C_1206_3216Metric",13.040000,21.330000,0.000000,top
"C32","1uF","C_0603_1608Metric",13.840000,23.320000,0.000000,top
"C33","4.7uF","C_0805_2012Metric",20.525000,20.405000,-90.000000,top
"C34","22uF","C_1206_3216Metric",10.965000,31.325000,-90.000000,top
"C35","10uF","C_0603_1608Metric",30.935000,20.885000,180.000000,top
"C36","10uF","C_0603_1608Metric",6.090000,20.360000,0.000000,top
"C37","10uF","C_0603_1608Metric",39.075000,12.610000,180.000000,top
"C38","22uF","C_1206_3216Metric",26.226100,41.523000,0.000000,top
"C44","470nF","C_0603_1608Metric",18.978000,31.693200,-90.000000,top
"C45","100nF","C_0603_1608Metric",1.210000,27.605000,90.000000,top
"C46","22uF","C_1206_3216Metric",26.226100,39.084600,0.000000,top
"CR1","ESDA6V1-5W6","SOT-363_SC-70-6",64.460000,18.550000,180.000000,top
"D1","D_TVS","D_0603_1608Metric",89.460000,28.257500,90.000000,top
"D2","LED","LED_0805_2012Metric",2.140000,40.750000,180.000000,top
"D3","LED","LED_0805_2012Metric",38.140000,51.850000,0.000000,top
"D4","LED","LED_0805_2012Metric",34.335000,51.860000,0.000000,top
"D5","LED","LED_0805_2012Metric",30.530000,51.860000,0.000000,top
"D6","LED","LED_0805_2012Metric",26.720000,51.860000,0.000000,top
"D7","LED","LED_0805_2012Metric",45.745000,51.855000,0.000000,top
"D8","LED","LED_0805_2012Metric",41.942500,51.855000,0.000000,top
"J1","BOOTSEL","TS-1145A-C-A",52.641400,9.384800,180.000000,top
"J2","RESET","TS-1145A-C-A",35.920000,33.220000,-90.000000,top
"J3","DEBUG","PinSocket_1x03_P1.27mm_Vertical",39.645000,31.525000,180.000000,top
"J4","BT(LE)","U.FL-R-SMT10",96.610000,21.883200,90.000000,top
"J5","GSM","U.FL-R-SMT10",96.630000,29.830000,90.000000,top
"J6","USBC_CHARGE","USB_C_Receptacle_HRO_TYPE-C-31-M-31",16.604800,4.864600,0.000000,top
"J7","USBC_PROG","USB_C_Receptacle_HRO_TYPE-C-31-M-31",35.604800,4.864600,0.000000,top
"J8","2822541-1","2822541-1",79.665000,9.475000,0.000000,top
"J9","BATTERY","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",8.850000,40.422000,0.000000,top
"J10","GNSS","U.FL-R-SMT10",96.610000,37.520000,90.000000,top
"J11","GPIO9-15","PinHeader_1x08_P2.54mm_Vertical",70.300000,51.105000,-90.000000,top
"L2","1uH","L_Sumida_CDMC6D28_7.25x6.5mm",19.714600,39.008400,-90.000000,top
"R1","27.4","R_0603_1608Metric",42.583000,17.540100,90.000000,top
"R2","27.4","R_0603_1608Metric",41.059000,17.587100,90.000000,top
"R3","1k","R_0603_1608Metric",68.240000,26.700000,180.000000,top
"R4","1k","R_0603_1608Metric",68.238550,28.200000,180.000000,top
"R5","1k","R_0603_1608Metric",56.553000,10.856100,-90.000000,top
"R6","1k","R_0603_1608Metric",68.238550,29.700000,180.000000,top
"R7","1k","R_0603_1608Metric",68.240000,31.200000,180.000000,top
"R8","1k","R_0603_1608Metric",68.240000,34.200000,180.000000,top
"R9","1k","R_0603_1608Metric",68.238550,35.700000,180.000000,top
"R10","1k","R_0603_1608Metric",68.240000,32.700000,180.000000,top
"R11","1k","R_0603_1608Metric",68.245000,37.245000,180.000000,top
"R12","1k","R_0603_1608Metric",68.240000,38.800000,180.000000,top
"R13","10k","R_0603_1608Metric",89.340000,21.250000,-90.000000,top
"R14","5.6k","R_0603_1608Metric",61.741400,26.844800,0.000000,top
"R15","5.6k","R_0603_1608Metric",61.743300,28.699000,0.000000,top
"R16","5.6k","R_0603_1608Metric",61.765000,24.300000,0.000000,top
"R17","1k","R_0603_1608Metric",45.485000,32.060000,90.000000,top
"R18","10k","R_0603_1608Metric",35.070000,25.470000,0.000000,top
"R19","10k","R_0603_1608Metric",35.070000,23.965000,0.000000,top
"R20","0R","R_0603_1608Metric",92.440000,21.250000,90.000000,top
"R21","0R","R_0603_1608Metric",90.980000,31.640000,-90.000000,top
"R22","330","R_0603_1608Metric",39.265000,49.355000,-90.000000,top
"R23","330","R_0603_1608Metric",35.465000,49.375000,-90.000000,top
"R24","22","R_0603_1608Metric",68.180000,10.970000,90.000000,top
"R25","22","R_0603_1608Metric",65.140000,10.952500,90.000000,top
"R26","22","R_0603_1608Metric",62.350000,10.990000,90.000000,top
"R27","4.7k","R_0603_1608Metric",72.090000,18.830000,0.000000,top
"R28","1k","R_0603_1608Metric",2.027500,38.925000,180.000000,top
"R29","2k","R_0603_1608Metric",6.090000,21.920000,0.000000,top
"R30","330","R_0603_1608Metric",31.665000,49.375000,-90.000000,top
"R31","330","R_0603_1608Metric",27.835000,49.375000,-90.000000,top
"R32","0R","R_0603_1608Metric",92.190000,37.530000,0.000000,top
"R33","16.16k","R_0603_1608Metric",6.100000,23.500000,180.000000,top
"R34","R","R_0603_1608Metric",2.740000,27.592500,90.000000,top
"R35","100k","R_0603_1608Metric",20.502000,31.744000,-90.000000,top
"R36","5.6k","R_0603_1608Metric",28.690000,10.330000,0.000000,top
"R37","100k","R_0603_1608Metric",9.130000,27.117500,90.000000,top
"R38","R","R_0603_1608Metric",2.740000,30.962500,90.000000,top
"R39","5.6k","R_0603_1608Metric",42.815000,10.515000,180.000000,top
"R40","5.6k","R_0603_1608Metric",9.160000,13.170000,-90.000000,top
"R41","5.6k","R_0603_1608Metric",12.105000,13.160000,-90.000000,top
"R42","330","R_0603_1608Metric",46.870000,49.355000,-90.000000,top
"R43","330","R_0603_1608Metric",43.060000,49.355000,-90.000000,top
"U1","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",51.480000,16.440000,180.000000,top
"U2","SIM868","XCVR_SIM868",79.354000,29.681200,0.000000,top
"U3","RP2040","RP2040-QFN-56",43.599000,24.802600,180.000000,top
"U4","SN74LVC1G66DRYR","SN74LVC1G66DRYR",24.060000,24.710000,0.000000,top
"U5","LM66200DRLR","LM66200DRLR",25.140000,32.550000,180.000000,top
"U6","MP2624GL","MP2624GL",17.197570,27.206896,90.000000,top
"U7","NCP1117LPST33T3G","SOT-223",32.190000,15.600000,-90.000000,top
"U8","SAFFB1G56KB0F5F","SAFFB1G56KB0F5F",89.440000,37.340000,0.000000,top
"U10","LM66200DRLR","LM66200DRLR",25.125000,27.357644,180.000000,top
"Y1","Crystal","Crystal_SMD_HC49-SD",53.565000,36.865000,180.000000,top
"Z1","MMSZ5231BT1G","SOD-123",81.512800,45.917200,90.000000,top
